Time    USD    EUR    TOMAN    YEN    GBP
2024-06-05 01:16:35.985667    1.09    0.81    38514.4    110.57    0.78
2024-06-05 01:17:35.985667    1.11    0.81    38910.21    110.97    0.78
2024-06-05 01:18:35.985667    1.08    0.81    39511.68    110.58    0.77
2024-06-05 01:19:35.985667    1.11    0.81    39678.47    112.2    0.77
2024-06-05 01:20:35.985667    1.1    0.81    40086.92    111.32    0.77
2024-06-05 01:21:35.985667    1.09    0.81    40146.31    111.19    0.77
2024-06-05 01:22:35.985667    1.1    0.81    40238.33    111.0    0.77
2024-06-05 01:23:35.985667    1.09    0.79    40327.04    110.11    0.78
2024-06-05 01:24:35.985667    1.08    0.79    40894.03    110.08    0.76
2024-06-05 01:25:35.985667    1.07    0.8    40979.77    109.26    0.77
2024-06-05 01:26:35.985667    1.07    0.81    41124.15    109.91    0.77
2024-06-05 01:27:35.985667    1.08    0.82    40871.08    109.11    0.76
2024-06-05 01:28:35.985667    1.08    0.82    40562.4    108.38    0.76
2024-06-05 01:29:35.985667    1.09    0.8    40193.08    108.06    0.76
2024-06-05 01:30:35.985667    1.08    0.8    40898.31    109.73    0.76
2024-06-05 01:31:35.985667    1.08    0.79    40655.81    109.75    0.77
2024-06-05 01:32:35.985667    1.09    0.8    40665.95    109.25    0.77
2024-06-05 01:33:35.985667    1.08    0.8    40317.0    108.75    0.77
2024-06-05 01:34:35.985667    1.1    0.81    40200.57    108.97    0.78
2024-06-05 01:35:35.985667    1.09    0.79    39649.01    108.74    0.79
2024-06-05 01:36:35.985667    1.07    0.79    39878.65    109.02    0.79
2024-06-05 01:37:35.985667    1.05    0.8    40119.52    109.7    0.78
2024-06-05 01:38:35.985667    1.03    0.81    39959.66    109.6    0.77
2024-06-05 01:39:35.985667    1.03    0.82    39921.59    111.24    0.78
2024-06-05 01:40:35.985667    1.02    0.81    40302.43    110.74    0.77
2024-06-05 01:41:35.985667    1.03    0.81    40607.65    111.36    0.77
2024-06-05 01:42:35.985667    1.04    0.82    41391.99    110.97    0.76
2024-06-05 01:43:35.985667    1.04    0.82    41380.89    111.1    0.74
2024-06-05 01:44:35.985667    1.05    0.82    40682.86    112.54    0.75
2024-06-05 01:45:35.985667    1.04    0.83    40399.98    114.82    0.75
2024-06-05 01:46:35.985667    1.03    0.82    41013.4    114.29    0.76
2024-06-05 01:47:35.985667    1.02    0.8    41556.37    114.09    0.77
2024-06-05 01:48:35.985667    1.02    0.8    41492.07    114.15    0.77
2024-06-05 01:49:35.985667    1.02    0.81    41357.33    113.89    0.77
2024-06-05 01:50:35.985667    1.03    0.8    41264.82    113.41    0.78
2024-06-05 01:51:35.985667    1.03    0.79    41634.9    114.28    0.77
2024-06-05 01:52:35.985667    1.03    0.8    41402.72    112.72    0.78
2024-06-05 01:53:35.985667    1.03    0.8    41601.31    112.12    0.78
2024-06-05 01:54:35.985667    1.03    0.81    41693.85    112.24    0.78
2024-06-05 01:55:35.985667    1.02    0.82    41515.77    111.07    0.77
2024-06-05 01:56:35.985667    1.02    0.82    41610.48    110.99    0.77
2024-06-05 01:57:35.985667    1.02    0.82    41937.41    112.17    0.76
2024-06-05 01:58:35.985667    1.03    0.82    41316.62    113.13    0.76
2024-06-05 01:59:35.985667    1.03    0.83    41715.57    113.79    0.76
2024-06-05 02:00:35.985667    1.02    0.84    42115.75    112.79    0.77
2024-06-05 02:01:35.985667    1.03    0.86    41327.92    111.82    0.77
2024-06-05 02:02:35.985667    1.04    0.87    41364.92    110.98    0.76
2024-06-05 02:03:35.985667    1.04    0.87    41533.91    111.44    0.75
2024-06-05 02:04:35.985667    1.04    0.89    41726.95    113.44    0.76
2024-06-05 02:05:35.985667    1.04    0.89    41607.96    111.89    0.75
2024-06-05 02:06:35.985667    1.03    0.88    41486.23    112.22    0.77
2024-06-05 02:07:35.985667    1.03    0.88    40648.59    112.67    0.76
2024-06-05 02:08:35.985667    1.04    0.88    40513.73    112.26    0.75
2024-06-05 02:09:35.985667    1.04    0.88    40068.28    113.74    0.76
2024-06-05 02:10:35.985667    1.03    0.88    40019.65    112.63    0.76
2024-06-05 02:11:35.985667    1.03    0.88    40170.38    114.1    0.75
2024-06-05 02:12:35.985667    1.02    0.9    40524.54    114.0    0.76
2024-06-05 02:13:35.985667    1.02    0.9    40068.31    113.62    0.75
2024-06-05 02:14:35.985667    1.04    0.89    40189.05    114.61    0.75
2024-06-05 02:15:35.985667    1.04    0.89    40043.89    114.39    0.76
2024-06-05 02:16:35.985667    1.02    0.88    39145.13    113.58    0.76
2024-06-05 02:17:35.985667    1.01    0.88    39221.72    114.63    0.74
2024-06-05 02:18:35.985667    1.02    0.88    39356.18    116.52    0.73
2024-06-05 02:19:35.985667    1.0    0.89    39082.33    117.48    0.73
2024-06-05 02:20:35.985667    1.0    0.9    39424.95    118.23    0.74
2024-06-05 02:21:35.985667    1.01    0.9    39166.63    120.17    0.75
2024-06-05 02:22:35.985667    1.01    0.9    39059.27    120.25    0.75
2024-06-05 02:23:35.985667    1.01    0.9    40128.1    119.08    0.76
2024-06-05 02:24:35.985667    1.01    0.89    40668.34    118.0    0.75
2024-06-05 02:25:35.985667    1.02    0.9    40446.53    118.56    0.75
2024-06-05 02:26:35.985667    1.0    0.89    40492.09    118.47    0.75
2024-06-05 02:27:35.985667    1.01    0.89    40230.06    117.2    0.76
2024-06-05 02:28:35.985667    0.99    0.9    40048.59    115.43    0.76
2024-06-05 02:29:35.985667    1.01    0.91    40324.07    114.75    0.75
2024-06-05 02:30:35.985667    1.02    0.91    39912.21    116.51    0.75
2024-06-05 02:31:35.985667    1.0    0.9    39848.4    116.47    0.76
2024-06-05 02:32:35.985667    1.0    0.91    40408.49    117.3    0.75
2024-06-05 02:33:35.985667    1.01    0.91    40075.67    117.88    0.76
2024-06-05 02:34:35.985667    1.01    0.91    40516.23    120.05    0.76
2024-06-05 02:35:35.985667    1.01    0.92    40813.22    120.69    0.76
2024-06-05 02:36:35.985667    1.0    0.91    39918.67    120.8    0.76
2024-06-05 02:37:35.985667    1.01    0.92    39246.23    120.69    0.77
2024-06-05 02:38:35.985667    1.01    0.94    39232.83    122.79    0.77
2024-06-05 02:39:35.985667    1.03    0.93    39505.85    122.4    0.77
2024-06-05 02:40:35.985667    1.05    0.94    39746.16    124.07    0.78
2024-06-05 02:41:35.985667    1.05    0.96    40226.8    123.47    0.77
2024-06-05 02:42:35.985667    1.04    0.96    39904.07    125.94    0.79
2024-06-05 02:43:35.985667    1.03    0.97    40810.11    126.04    0.79
2024-06-05 02:44:35.985667    1.04    0.97    40566.48    124.76    0.78
2024-06-05 02:45:35.985667    1.02    0.96    40458.46    125.47    0.78
2024-06-05 02:46:35.985667    1.02    0.96    41029.31    125.11    0.77
2024-06-05 02:47:35.985667    1.01    0.96    41040.7    124.41    0.77
2024-06-05 02:48:35.985667    1.0    0.98    40360.86    123.3    0.77
2024-06-05 02:49:35.985667    1.0    0.99    41443.96    122.76    0.78
2024-06-05 02:50:35.985667    1.01    1.0    42381.79    123.95    0.78
2024-06-05 02:51:35.985667    1.01    1.0    41551.55    124.7    0.77
2024-06-05 02:52:35.985667    1.01    1.0    41710.85    126.17    0.76
2024-06-05 02:53:35.985667    1.01    0.99    41787.48    127.61    0.77
2024-06-05 02:54:35.985667    0.97    1.0    41225.5    129.11    0.77
2024-06-05 02:55:35.985667    0.96    0.99    40623.29    128.32    0.76
2024-06-05 02:56:35.985667    0.97    0.99    41295.99    130.61    0.74
2024-06-05 02:57:35.985667    0.97    1.0    41892.21    132.71    0.74
2024-06-05 02:58:35.985667    0.98    1.0    41531.8    132.0    0.74
2024-06-05 02:59:35.985667    0.99    1.01    40764.29    132.33    0.74
2024-06-05 03:00:35.985667    1.0    1.01    39980.42    132.04    0.74
2024-06-05 03:01:35.985667    1.0    1.03    40328.55    130.71    0.74
2024-06-05 03:02:35.985667    1.01    1.03    40798.17    129.24    0.72
2024-06-05 03:03:35.985667    1.02    1.03    39917.84    128.06    0.73
2024-06-05 03:04:35.985667    1.03    1.05    40536.44    127.28    0.72
2024-06-05 03:05:35.985667    1.03    1.06    40039.86    128.31    0.73
2024-06-05 03:06:35.985667    1.03    1.08    40404.7    129.4    0.73
2024-06-05 03:07:35.985667    1.03    1.08    40658.24    127.28    0.72
2024-06-05 03:08:35.985667    1.04    1.05    39938.62    125.26    0.73
2024-06-05 03:09:35.985667    1.03    1.03    39270.71    124.19    0.73
2024-06-05 03:10:35.985667    1.03    1.02    39401.33    124.6    0.72
2024-06-05 03:11:35.985667    1.05    1.03    39371.42    123.81    0.7
2024-06-05 03:12:35.985667    1.04    1.05    39650.15    124.44    0.7
2024-06-05 03:13:35.985667    1.03    1.05    39670.14    120.7    0.69
2024-06-05 03:14:35.985667    1.02    1.04    39544.62    121.51    0.69
2024-06-05 03:15:35.985667    1.02    1.04    39298.42    120.82    0.69
2024-06-05 03:16:35.985667    1.04    1.05    39355.51    120.29    0.69
2024-06-05 03:17:35.985667    1.04    1.04    39524.66    120.4    0.68
2024-06-05 03:18:35.985667    1.04    1.02    39054.83    120.64    0.68
2024-06-05 03:19:35.985667    1.04    1.02    38746.72    122.84    0.68
2024-06-05 03:20:35.985667    1.03    1.02    39170.27    122.32    0.67
2024-06-05 03:21:35.985667    1.02    1.03    39337.81    120.56    0.67
2024-06-05 03:22:35.985667    1.03    1.03    39233.18    120.53    0.66
2024-06-05 03:23:35.985667    1.03    1.03    38975.02    120.05    0.67
2024-06-05 03:24:35.985667    1.03    1.02    39242.07    118.97    0.67
2024-06-05 03:25:35.985667    1.01    1.04    39391.23    119.79    0.67
2024-06-05 03:26:35.985667    1.0    1.03    39439.96    121.74    0.69
2024-06-05 03:27:35.985667    1.02    1.03    38839.7    121.08    0.69
2024-06-05 03:28:35.985667    1.02    1.03    39184.02    118.94    0.7
2024-06-05 03:29:35.985667    1.04    1.03    39716.44    118.71    0.7
2024-06-05 03:30:35.985667    1.03    1.02    39585.89    118.85    0.7
2024-06-05 03:31:35.985667    1.02    1.03    39587.87    120.17    0.69
2024-06-05 03:32:35.985667    1.01    1.01    39006.33    119.65    0.7
2024-06-05 03:33:35.985667    1.0    1.0    39111.58    119.54    0.7
2024-06-05 03:34:35.985667    1.0    1.0    39614.25    118.25    0.69
2024-06-05 03:35:35.985667    1.0    0.99    39603.11    119.89    0.69
2024-06-05 03:36:35.985667    1.02    1.0    39771.32    122.7    0.69
2024-06-05 03:37:35.985667    1.01    1.0    39481.18    122.54    0.69
2024-06-05 03:38:35.985667    1.01    1.0    38884.82    123.06    0.69
2024-06-05 03:39:35.985667    1.01    1.0    39208.22    123.64    0.69
2024-06-05 03:40:35.985667    1.0    1.0    39616.83    123.31    0.68
2024-06-05 03:41:35.985667    0.99    1.01    39941.41    123.1    0.68
2024-06-05 03:42:35.985667    0.99    1.01    40434.41    123.33    0.69
2024-06-05 03:43:35.985667    1.02    1.02    40043.74    124.52    0.69
2024-06-05 03:44:35.985667    1.02    1.02    39481.08    124.37    0.68
2024-06-05 03:45:35.985667    1.03    1.03    40055.84    123.09    0.7
2024-06-05 03:46:35.985667    1.03    1.02    39924.62    124.21    0.71
2024-06-05 03:47:35.985667    1.03    1.02    39226.61    125.32    0.72
2024-06-05 03:48:35.985667    1.02    1.01    38770.67    125.2    0.71
2024-06-05 03:49:35.985667    1.02    0.99    38460.98    124.92    0.71
2024-06-05 03:50:35.985667    1.02    0.98    38338.43    122.45    0.7
2024-06-05 03:51:35.985667    1.03    0.99    38772.32    121.66    0.7
2024-06-05 03:52:35.985667    1.04    0.97    39266.37    121.0    0.69
2024-06-05 03:53:35.985667    1.03    0.97    39110.8    120.01    0.69
2024-06-05 03:54:35.985667    1.05    0.98    38667.08    117.62    0.69
2024-06-05 03:55:35.985667    1.03    0.98    37942.67    116.72    0.67
2024-06-05 03:56:35.985667    1.04    0.97    37188.72    116.77    0.67
2024-06-05 03:57:35.985667    1.04    0.98    37059.89    116.62    0.67
2024-06-05 03:58:35.985667    1.05    0.98    36208.83    118.22    0.67
2024-06-05 03:59:35.985667    1.03    0.99    36048.31    116.32    0.67
2024-06-05 04:00:35.985667    1.05    0.99    36414.36    116.54    0.68
2024-06-05 04:01:35.985667    1.06    0.98    36971.78    116.04    0.68
2024-06-05 04:02:35.985667    1.05    1.01    36193.68    116.62    0.68
2024-06-05 04:03:35.985667    1.06    1.0    36046.16    117.32    0.68
2024-06-05 04:04:35.985667    1.06    1.01    36399.33    115.27    0.68
2024-06-05 04:05:35.985667    1.06    1.0    36293.33    115.85    0.68
2024-06-05 04:06:35.985667    1.06    1.01    36622.8    114.3    0.68
2024-06-05 04:07:35.985667    1.06    1.01    36871.19    114.93    0.68
2024-06-05 04:08:35.985667    1.07    1.01    36436.6    114.34    0.67
2024-06-05 04:09:35.985667    1.06    1.01    36882.98    113.1    0.66
2024-06-05 04:10:35.985667    1.06    1.02    37056.85    113.96    0.65
2024-06-05 04:11:35.985667    1.06    1.02    36422.87    114.78    0.65
2024-06-05 04:12:35.985667    1.05    1.01    37010.36    114.8    0.66
2024-06-05 04:13:35.985667    1.06    1.01    37039.63    113.48    0.66
2024-06-05 04:14:35.985667    1.06    1.0    37004.97    114.64    0.65
2024-06-05 04:15:35.985667    1.06    1.0    37347.72    115.37    0.66
2024-06-05 04:16:35.985667    1.07    0.98    37964.24    116.22    0.67
2024-06-05 04:17:35.985667    1.07    0.97    38445.88    116.45    0.66
2024-06-05 04:18:35.985667    1.07    0.96    38683.05    117.06    0.67
2024-06-05 04:19:35.985667    1.07    0.96    39142.04    117.8    0.68
2024-06-05 04:20:35.985667    1.07    0.97    39669.27    117.43    0.68
2024-06-05 04:21:35.985667    1.07    0.96    39755.61    117.72    0.68
2024-06-05 04:22:35.985667    1.07    0.96    39995.13    117.7    0.68
2024-06-05 04:23:35.985667    1.08    0.96    39722.99    117.37    0.68
2024-06-05 04:24:35.985667    1.08    0.97    39763.33    115.77    0.69
2024-06-05 04:25:35.985667    1.08    0.99    39495.49    116.44    0.68
2024-06-05 04:26:35.985667    1.11    0.98    39486.01    116.43    0.69
2024-06-05 04:27:35.985667    1.1    0.97    39589.7    116.65    0.68
2024-06-05 04:28:35.985667    1.11    0.99    40016.03    117.74    0.69
2024-06-05 04:29:35.985667    1.13    1.0    39875.25    117.43    0.68
2024-06-05 04:30:35.985667    1.11    0.99    40090.16    116.74    0.67
2024-06-05 04:31:35.985667    1.1    1.0    40601.0    116.35    0.67
2024-06-05 04:32:35.985667    1.1    0.99    40462.01    117.84    0.66
2024-06-05 04:33:35.985667    1.09    0.98    40878.61    118.95    0.66
2024-06-05 04:34:35.985667    1.08    0.99    40384.92    119.34    0.65
2024-06-05 04:35:35.985667    1.08    0.99    40636.51    118.57    0.65
2024-06-05 04:36:35.985667    1.08    0.97    41002.37    120.68    0.66
2024-06-05 04:37:35.985667    1.06    0.97    40609.58    121.37    0.65
2024-06-05 04:38:35.985667    1.07    0.95    40693.17    122.29    0.65
2024-06-05 04:39:35.985667    1.07    0.96    40115.15    121.75    0.65
2024-06-05 04:40:35.985667    1.05    0.96    40328.64    121.32    0.67
2024-06-05 04:41:35.985667    1.06    0.95    40452.87    122.29    0.67
2024-06-05 04:42:35.985667    1.05    0.95    40640.75    121.52    0.66
2024-06-05 04:43:35.985667    1.06    0.94    40267.81    121.2    0.65
2024-06-05 04:44:35.985667    1.04    0.95    39375.99    122.45    0.64
2024-06-05 04:45:35.985667    1.04    0.94    39672.06    122.59    0.64
2024-06-05 04:46:35.985667    1.04    0.95    39475.32    121.72    0.63
2024-06-05 04:47:35.985667    1.03    0.93    39421.28    120.52    0.62
2024-06-05 04:48:35.985667    1.01    0.94    39259.32    120.16    0.62
2024-06-05 04:49:35.985667    1.01    0.94    39672.87    121.49    0.62
2024-06-05 04:50:35.985667    1.01    0.96    39490.51    123.07    0.62
2024-06-05 04:51:35.985667    1.03    0.96    39208.95    123.48    0.63
2024-06-05 04:52:35.985667    1.01    0.97    39104.55    122.75    0.62
2024-06-05 04:53:35.985667    1.01    0.95    38888.34    124.03    0.61
2024-06-05 04:54:35.985667    1.0    0.94    39730.46    123.4    0.62
2024-06-05 04:55:35.985667    1.0    0.94    39860.13    123.79    0.61
2024-06-05 04:56:35.985667    0.99    0.94    40143.84    125.28    0.61
2024-06-05 04:57:35.985667    0.98    0.95    40323.23    123.89    0.6
2024-06-05 04:58:35.985667    0.98    0.95    40363.43    123.8    0.6
2024-06-05 04:59:35.985667    0.98    0.94    40101.44    122.19    0.6
2024-06-05 05:00:35.985667    0.97    0.94    39631.69    123.45    0.61
2024-06-05 05:01:35.985667    0.95    0.94    39509.48    123.24    0.61
2024-06-05 05:02:35.985667    0.95    0.94    39059.86    123.29    0.61
2024-06-05 05:03:35.985667    0.97    0.93    38909.73    123.05    0.62
2024-06-05 05:04:35.985667    0.96    0.95    39472.17    124.13    0.61
2024-06-05 05:05:35.985667    0.97    0.96    39288.61    123.31    0.61
2024-06-05 05:06:35.985667    0.95    0.97    39316.45    122.2    0.62
2024-06-05 05:07:35.985667    0.95    0.99    39621.98    121.58    0.61
2024-06-05 05:08:35.985667    0.93    0.98    40533.68    123.02    0.61
2024-06-05 05:09:35.985667    0.94    0.99    40563.75    123.69    0.61
2024-06-05 05:10:35.985667    0.94    0.97    41295.68    122.97    0.61
2024-06-05 05:11:35.985667    0.94    0.97    41026.19    122.16    0.61
2024-06-05 05:12:35.985667    0.94    0.96    40457.28    123.08    0.62
2024-06-05 05:13:35.985667    0.95    0.96    40946.82    123.84    0.62
2024-06-05 05:14:35.985667    0.97    0.97    40799.91    123.12    0.63
2024-06-05 05:15:35.985667    0.96    0.96    41027.01    125.94    0.63
2024-06-05 05:16:35.985667    0.98    0.97    40931.01    127.47    0.64
2024-06-05 05:17:35.985667    0.97    0.96    40216.99    127.03    0.63
2024-06-05 05:18:35.985667    0.97    0.97    40618.45    127.3    0.62
2024-06-05 05:19:35.985667    0.96    0.97    41335.12    128.88    0.62
2024-06-05 05:20:35.985667    0.96    0.96    41066.35    129.37    0.62
2024-06-05 05:21:35.985667    0.97    0.94    40744.82    127.33    0.63
2024-06-05 05:22:35.985667    0.96    0.93    40323.6    127.48    0.63
2024-06-05 05:23:35.985667    0.95    0.92    40120.13    127.79    0.62
2024-06-05 05:24:35.985667    0.96    0.92    39763.15    128.28    0.62
2024-06-05 05:25:35.985667    0.97    0.92    39364.94    128.22    0.62
2024-06-05 05:26:35.985667    0.98    0.92    39052.44    127.81    0.6
2024-06-05 05:27:35.985667    0.96    0.92    38958.0    127.3    0.61
2024-06-05 05:28:35.985667    0.95    0.93    38872.35    127.14    0.61
2024-06-05 05:29:35.985667    0.95    0.94    38700.79    126.04    0.61
2024-06-05 05:30:35.985667    0.94    0.96    38808.09    126.28    0.62
2024-06-05 05:31:35.985667    0.95    0.96    38461.6    124.36    0.62
2024-06-05 05:32:35.985667    0.93    0.96    38274.06    124.54    0.62
2024-06-05 05:33:35.985667    0.93    0.96    38234.29    125.67    0.61
2024-06-05 05:34:35.985667    0.95    0.96    38472.21    126.25    0.61
2024-06-05 05:35:35.985667    0.95    0.96    38425.83    126.94    0.6
2024-06-05 05:36:35.985667    0.97    0.97    39095.17    125.33    0.6
2024-06-05 05:37:35.985667    0.97    0.98    38723.75    124.56    0.6
2024-06-05 05:38:35.985667    0.96    0.97    38134.92    125.33    0.61
2024-06-05 05:39:35.985667    0.97    0.98    38454.97    125.23    0.61
2024-06-05 05:40:35.985667    0.97    0.98    38525.34    124.52    0.6
2024-06-05 05:41:35.985667    0.98    0.97    38120.36    125.42    0.61
2024-06-05 05:42:35.985667    0.99    0.98    37802.0    126.27    0.61
2024-06-05 05:43:35.985667    1.0    0.98    37479.2    126.73    0.61
2024-06-05 05:44:35.985667    1.01    0.98    37590.41    126.04    0.61
2024-06-05 05:45:35.985667    1.02    0.98    37758.17    126.67    0.61
2024-06-05 05:46:35.985667    1.01    0.99    37281.07    126.69    0.6
2024-06-05 05:47:35.985667    1.01    0.99    37360.39    128.27    0.6
2024-06-05 05:48:35.985667    1.0    1.02    37325.0    127.7    0.59
2024-06-05 05:49:35.985667    0.99    1.01    37444.53    127.46    0.59
2024-06-05 05:50:35.985667    0.98    1.01    37640.65    126.05    0.6
2024-06-05 05:51:35.985667    0.98    1.0    38091.2    126.82    0.6
2024-06-05 05:52:35.985667    0.97    1.0    38163.26    126.33    0.6
2024-06-05 05:53:35.985667    0.97    0.99    37346.62    127.59    0.6
2024-06-05 05:54:35.985667    0.98    0.98    37314.16    129.57    0.6
2024-06-05 05:55:35.985667    0.98    0.98    37541.99    128.16    0.6
2024-06-05 05:56:35.985667    1.0    1.0    37673.85    127.93    0.62
2024-06-05 05:57:35.985667    1.01    1.0    37650.22    131.67    0.62
2024-06-05 05:58:35.985667    1.01    1.01    37077.86    130.67    0.61
2024-06-05 05:59:35.985667    1.01    1.02    37102.7    131.85    0.61
2024-06-05 06:00:35.985667    1.01    1.02    37618.81    132.29    0.62
2024-06-05 06:01:35.985667    1.02    1.04    38434.97    130.95    0.61
2024-06-05 06:02:35.985667    1.04    1.04    38259.65    131.01    0.61
2024-06-05 06:03:35.985667    1.02    1.04    37664.62    133.86    0.61
2024-06-05 06:04:35.985667    1.01    1.05    37080.97    132.58    0.6
2024-06-05 06:05:35.985667    0.99    1.04    36885.54    133.37    0.61
2024-06-05 06:06:35.985667    0.98    1.03    37175.4    132.9    0.62
2024-06-05 06:07:35.985667    0.99    1.02    37107.46    133.46    0.62
2024-06-05 06:08:35.985667    0.98    1.03    37642.94    133.06    0.62
2024-06-05 06:09:35.985667    0.99    1.03    38027.0    134.69    0.62
2024-06-05 06:10:35.985667    0.96    1.05    37766.86    134.12    0.62
2024-06-05 06:11:35.985667    0.96    1.06    37661.53    134.3    0.63
2024-06-05 06:12:35.985667    0.97    1.07    37897.77    133.77    0.63
2024-06-05 06:13:35.985667    0.98    1.06    38304.67    131.24    0.64
2024-06-05 06:14:35.985667    0.96    1.06    38023.34    132.33    0.64
2024-06-05 06:15:35.985667    0.94    1.08    38118.38    132.33    0.63
2024-06-05 06:16:35.985667    0.94    1.08    37832.34    131.81    0.61
2024-06-05 06:17:35.985667    0.95    1.07    37242.87    132.4    0.6
2024-06-05 06:18:35.985667    0.95    1.08    37493.98    133.44    0.61
2024-06-05 06:19:35.985667    0.95    1.08    37785.29    134.92    0.6
2024-06-05 06:20:35.985667    0.96    1.09    37308.45    137.05    0.6
2024-06-05 06:21:35.985667    0.97    1.09    37869.53    136.1    0.61
2024-06-05 06:22:35.985667    0.97    1.1    38479.9    135.14    0.62
2024-06-05 06:23:35.985667    0.98    1.09    38876.15    134.67    0.61
2024-06-05 06:24:35.985667    0.99    1.08    38593.24    135.0    0.61
2024-06-05 06:25:35.985667    0.99    1.08    38315.75    134.75    0.61
2024-06-05 06:26:35.985667    1.0    1.07    37853.72    137.26    0.61
2024-06-05 06:27:35.985667    1.0    1.07    37716.5    138.44    0.61
2024-06-05 06:28:35.985667    1.01    1.06    38253.43    138.81    0.62
2024-06-05 06:29:35.985667    0.99    1.07    37614.78    137.25    0.61
2024-06-05 06:30:35.985667    0.99    1.08    36749.64    139.57    0.62
2024-06-05 06:31:35.985667    1.0    1.09    36961.86    138.73    0.62
2024-06-05 06:32:35.985667    1.01    1.09    37407.24    139.49    0.62
2024-06-05 06:33:35.985667    1.01    1.09    36977.21    138.92    0.62
2024-06-05 06:34:35.985667    1.01    1.08    37050.64    137.25    0.61
2024-06-05 06:35:35.985667    1.03    1.07    37633.75    137.62    0.61
2024-06-05 06:36:35.985667    1.03    1.07    37584.01    138.57    0.61
2024-06-05 06:37:35.985667    1.02    1.09    37586.24    138.5    0.6
2024-06-05 06:38:35.985667    1.04    1.08    38107.04    137.07    0.6
2024-06-05 06:39:35.985667    1.05    1.08    37966.0    136.41    0.6
2024-06-05 06:40:35.985667    1.05    1.08    37962.2    134.09    0.6
2024-06-05 06:41:35.985667    1.06    1.1    38089.09    133.98    0.61
2024-06-05 06:42:35.985667    1.05    1.1    37671.43    135.83    0.61
2024-06-05 06:43:35.985667    1.06    1.1    37809.07    135.07    0.61
2024-06-05 06:44:35.985667    1.06    1.09    38029.24    136.08    0.62
2024-06-05 06:45:35.985667    1.07    1.1    38431.27    136.64    0.63
2024-06-05 06:46:35.985667    1.09    1.11    38555.28    137.72    0.64
2024-06-05 06:47:35.985667    1.13    1.14    38272.57    135.75    0.64
2024-06-05 06:48:35.985667    1.13    1.14    38244.29    136.51    0.64
2024-06-05 06:49:35.985667    1.13    1.15    38661.61    136.82    0.64
2024-06-05 06:50:35.985667    1.13    1.14    38888.43    137.86    0.64
2024-06-05 06:51:35.985667    1.13    1.14    38991.67    138.95    0.65
